1,3987,1944,1506,836
2,3987,1944,1506,836
3,3987,1944,1506,836
4,3987,1944,1506,836
5,3987,1944,1506,836
6,3987,1944,1506,836
7,4172,1888,1321,474
8,3555,1907,1938,650
9,3555,1907,1938,650
10,3555,1907,1938,650
11,3550,1953,1943,784
12,3550,1953,1943,784
13,3476,1953,2017,798
14,3476,1953,2017,798
15,3323,2120,2170,626
16,3383,1995,2110,575
17,3300,2204,2184,626
18,2934,2028,2550,955
19,2934,2028,2550,955
20,2934,2028,2550,955
21,2934,2028,2550,955
23,2934,2028,2550,955
24,2948,1972,2536,793
25,2948,1972,2536,793
26,2846,1972,2638,793
27,3064,1889,2420,951
28,3064,1889,2420,951
29,2957,1889,2527,993
30,2957,1889,2527,993
31,2957,1889,2527,993
32,2957,1889,2527,993
33,2957,1889,2527,993
33,2957,1889,2527,993
34,2957,1889,2527,993
35,2957,1889,2527,993
36,2614,1773,2870,993
37,2512,1792,2972,965
38,1153,1630,4331,1628
39,1051,1630,4433,1637
40,1241,1806,4243,1711
41,1241,1806,4243,1711
42,1185,1755,4299,1688
43,1185,1755,4299,1688
44,1000,1755,4484,1702
45,1000,1755,4484,1702
46,787,1695,4697,1637
47,787,1695,4697,1637
48,787,1695,4697,1637
46,142,1454,5342,2022
